aco_flight_number,plot_datetime,user_name,study_area,other_study_area,users,plot_id,tube_name,pre_survey_notes,gnss_unit,gnss_setup,other_gnss_setup,gnss_status,rover_height,tare_weight_g,plot_type,cardinal,distance_m,custom_distance,plot_features,sample_type,depth_cm,depth_timestamp,depth_final_cm,core_length_cm,plug_cm,mass_tube_g_drop,snow_depth,multi_core,multi_part_core_num,multi_core_num_copy,depth_cm_new,depth_cm_timestamp_new,core_section_length_cm,plug_cm_copy,mass_tube_g_new,core_length_final,core_features,depth_of_saturation,mass_final_g,depth_max,retrieval,swe_cm_drop,density_drop,sample_rating,notes,snow_pit_distance_from_centre,snow_pit_depth_above_ground,snow_pit_temperature,snow_pit_density,survey_end
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,10.0,,O,Depth,168.0,5/10/2024 9:22,168.0,,,,168.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,7.5,,O,Depth,185.0,5/10/2024 9:22,185.0,,,,185.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,5.0,,O,Depth,170.0,5/10/2024 9:22,170.0,,,,170.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,2.5,,O,Depth,155.0,5/10/2024 9:23,155.0,,,,155.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,E,10.0,,O,Density,155.0,5/10/2024 9:23,0.0,145.0,0.0,4270.0,155.0,,,,,,,,,145.0,,,770.0,155.0,94.0,68.615,0.443,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,10.0,,O,Depth,124.0,5/10/2024 9:25,124.0,,,,124.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,7.5,,O,Depth,204.0,5/10/2024 9:25,204.0,,,,204.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,5.0,,O,Depth,203.0,5/10/2024 9:25,203.0,,,,203.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SW,2.5,,O,Depth,172.0,5/10/2024 9:26,172.0,,,,172.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,N,10.0,,O,Density,119.0,5/10/2024 9:25,0.0,110.0,0.0,4010.0,119.0,,,,,,,,,110.0,,,510.0,119.0,92.0,45.446,0.382,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,W,10.0,,O,Density,165.0,5/10/2024 9:27,0.0,145.0,0.0,4350.0,165.0,,,,,,,,,145.0,,,850.0,165.0,88.0,75.744,0.459,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,10.0,,E,Depth,132.0,5/10/2024 9:28,132.0,,,,132.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,7.5,,"U,TW",Depth,44.0,5/10/2024 9:28,44.0,,,,44.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,Centre,,,O,Density,141.0,5/10/2024 9:28,0.0,131.0,0.0,4140.0,141.0,,,,,,,,,131.0,,,640.0,141.0,93.0,57.03,0.404,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,5.0,,U,Depth,76.0,5/10/2024 9:29,76.0,,,,76.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NE,2.5,,O,Depth,137.0,5/10/2024 9:29,137.0,,,,137.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,10.0,,O,Depth,150.0,5/10/2024 9:30,150.0,,,,150.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,7.5,,O,Depth,143.0,5/10/2024 9:31,143.0,,,,143.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,5.0,,O,Depth,116.0,5/10/2024 9:31,116.0,,,,116.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,NW,2.5,,O,Depth,121.0,5/10/2024 9:31,121.0,,,,121.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,10.0,,O,Depth,159.0,5/10/2024 9:32,159.0,,,,159.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
1,5/10/2024 9:13,CHRL-Nikolai Schirmer,Cruickshank,,Ak bf tm,E3S,CHRL 1,,,,,,,3500,Cardinal 10 m,SE,7.5,,O,Depth,165.0,5/10/2024 9:32,165.0,,,,165.0,,,,,,,,,,,,,0.0,,,,Good,,,,,,5/10/2024 9:33
